,avg_rewards,mean_q
0,-89.18181818181819,0.0515294149518013
1,-94.33333333333333,-2.018533229827881
2,-94.75,-3.403917074203491
3,-96.0,-4.434261798858643
4,-95.75,-5.458088397979736
5,-95.7741935483871,-5.536794185638428
6,-96.36111111111111,-6.37339448928833
7,-96.20731707317073,-6.816350936889648
8,-96.6195652173913,-6.950129985809326
9,-95.3,-6.053994655609131
10,-94.62,-7.166680812835693
11,-93.97,-7.134603023529053
12,-91.97,-5.023271083831787
13,-91.55,-7.571861267089844
14,-90.96,-6.452727317810059
15,-89.73,-7.982884407043457
16,-88.3,-5.317185878753662
17,-87.05,-4.751021862030029
18,-86.27,-5.972230911254883
19,-82.63,-6.670792579650879
20,-80.53,-3.9375550746917725
21,-74.92,-4.753377914428711
22,-74.35,-6.594737529754639
23,-73.08,-6.581867218017578
24,-67.61,-5.840518474578857
25,-65.07,-4.665779113769531
26,-62.74,-5.027034759521484
27,-62.59,-4.7620110511779785
28,-62.86,-5.018067359924316
29,-62.74,-6.894911766052246
30,-59.45,-5.850147724151611
31,-64.55,-5.80851411819458
32,-63.24,-3.6256661415100098
33,-66.85,-4.154829025268555
34,-67.47,-5.249521255493164
35,-65.8,-4.674460411071777
36,-63.65,-4.99340295791626
37,-61.16,-6.1827239990234375
38,-59.13,-6.938158988952637
39,-58.02,-5.162430763244629
40,-52.84,-2.152829170227051
41,-51.92,-7.050259590148926
42,-46.31,-5.84329891204834
43,-48.29,-5.859392166137695
44,-45.84,-6.377204895019531
45,-42.73,-6.259031295776367
46,-42.89,-5.182671070098877
47,-42.68,-5.852466106414795
48,-44.93,-4.665984630584717
49,-45.82,-5.412482261657715
50,-45.26,-3.280266284942627
51,-46.33,-6.053774833679199
52,-46.46,-5.2256669998168945
53,-48.66,-7.794976711273193
54,-44.15,-4.4705986976623535
55,-47.83,-5.871500015258789
56,-45.96,-4.802920341491699
57,-40.98,-7.109191417694092
58,-42.97,-4.355136394500732
59,-43.77,-4.690151214599609
60,-40.24,-5.851589202880859
61,-36.51,-5.002821922302246
62,-34.15,-4.967273712158203
63,-35.7,-4.365840911865234
