,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
0,0.1,0.8,0.4,18.89,69.68,47.68403821105476,1000
1,0.1,0.8,0.4,18.51,69.04,48.48385209842043,1000
2,0.1,0.8,0.4,17.69,68.64,47.934442791202194,1000
3,0.1,0.8,0.4,18.59,69.29,48.22933322707296,1000
4,0.1,0.8,0.4,17.31,68.05,48.10233297126353,1000
5,0.1,0.8,0.4,18.1,69.23,46.938890289740634,1000
6,0.1,0.8,0.4,18.42,69.19,48.697284481936265,1000
7,0.1,0.8,0.4,18.69,69.21,49.25619377014631,1000
8,0.1,0.8,0.4,19.05,69.65,49.02127304493758,1000
9,0.2,0.8,0.4,18.55,69.36,97.00026785701412,1000
10,0.2,0.8,0.4,19.42,70.27,97.00565348860393,1000
11,0.2,0.8,0.4,19.6,70.08,97.21167323908192,1000
12,0.2,0.8,0.4,17.88,68.81,97.31226159116898,1000
13,0.2,0.8,0.4,17.81,68.62,97.12908825232695,1000
14,0.2,0.8,0.4,16.41,67.28,97.0391485808873,1000
15,0.2,0.8,0.4,18.76,69.14,96.86241196316213,1000
16,0.2,0.8,0.4,17.97,68.63,96.32332270847465,1000
17,0.2,0.8,0.4,20.31,70.84,96.86403248497601,1000
18,0.3,0.8,0.4,18.56,69.58,142.498866204845,1000
19,0.3,0.8,0.4,17.44,68.16,144.88356632488063,1000
20,0.3,0.8,0.4,19.17,69.81,144.28652896351153,1000
21,0.3,0.8,0.4,18.52,69.12,145.47407822266987,1000
22,0.3,0.8,0.4,18.09,68.82,143.67377298115773,1000
23,0.3,0.8,0.4,18.04,68.81,145.78183787197423,1000
24,0.3,0.8,0.4,18.0,68.61,146.0282467668355,1000
25,0.3,0.8,0.4,19.25925925925926,81.11111111111111,0.19308071780811595,27
26,0.3,0.8,0.4,19.19,69.58,146.78349026226667,1000
27,0.4,0.8,0.4,19.46,69.87,195.54124825684283,1000
28,0.4,0.8,0.4,18.47,69.32,192.4723833857994,1000
29,0.4,0.8,0.4,19.49,70.27,194.04217018653588,1000
30,0.4,0.8,0.4,16.85,67.5,191.53555799057884,1000
31,0.4,0.8,0.4,18.4,69.26,193.2166369536066,1000
32,0.4,0.8,0.4,17.97,68.79,191.35671840853342,1000
33,0.4,0.8,0.4,17.9,68.84,190.80840385949796,1000
34,0.4,0.8,0.4,18.0,68.46,195.45247217160605,1000
35,0.4,0.8,0.4,16.91,67.73,192.19687575760742,1000
36,0.5,0.8,0.4,20.36,71.03,241.93369684364114,1000
37,0.5,0.8,0.4,21.44,72.0,241.77168198198646,1000
38,0.5,0.8,0.4,17.35,68.23,240.6886052489994,1000
39,0.5,0.8,0.4,16.66,67.84,239.28815406557376,1000
40,0.5,0.8,0.4,19.04,69.76,240.20646078830427,1000
41,0.5,0.8,0.4,16.29,67.37,237.84739421673237,1000
42,0.5,0.8,0.4,18.09,68.59,243.75761676187727,1000
43,0.5,0.8,0.4,18.69,69.46,242.78161728464508,1000
44,0.5,0.8,0.4,18.71,69.57,243.3527593253221,1000
45,0.6,0.8,0.4,18.54,69.16,289.58516138883886,1000
46,0.6,0.8,0.4,16.97,67.59,291.3352215580869,1000
47,0.6,0.8,0.4,19.31,69.95,288.7533313904946,1000
48,0.6,0.8,0.4,19.71,70.43,290.7469986170654,1000
49,0.6,0.8,0.4,18.57,69.34,293.25697914928287,1000
50,0.6,0.8,0.4,18.0,68.5,294.50222367001976,1000
51,0.6,0.8,0.4,18.61,69.28,290.2536295969755,1000
52,0.6,0.8,0.4,17.8,68.33,292.3491737696511,1000
53,0.6,0.8,0.4,18.7,69.34,291.6973675205854,1000
54,0.7,0.8,0.4,18.74,69.73,338.9213846767074,1000
55,0.7,0.8,0.4,18.26,68.94,342.2271609068485,1000
56,0.7,0.8,0.4,18.54,69.45,337.00924763678347,1000
57,0.7,0.8,0.4,18.83,69.48,342.15144082528303,1000
58,0.7,0.8,0.4,21.14,71.76,336.49270128024904,1000
59,0.7,0.8,0.4,20.22,70.8,342.27972440952254,1000
60,0.7,0.8,0.4,18.18,69.21,333.27065429623656,1000
61,0.7,0.8,0.4,17.09,68.23,328.9838471640839,1000
62,0.7,0.8,0.4,17.3,68.23,331.1752355525483,1000
63,0.8,0.8,0.4,19.63,70.39,384.37770544925644,1000
64,0.8,0.8,0.4,18.47,69.37,386.6065663389999,1000
65,0.8,0.8,0.4,18.24,68.96,389.7206486363273,1000
66,0.8,0.8,0.4,16.45,67.15,388.78443791155036,1000
67,0.8,0.8,0.4,16.58,67.66,381.62213804034866,1000
68,0.8,0.8,0.4,19.56,70.27,386.56586688895396,1000
69,0.8,0.8,0.4,20.18,70.83,383.81468293963883,1000
70,0.8,0.8,0.4,19.78,70.65,383.72490520852483,1000
71,0.8,0.8,0.4,17.07,67.9,388.1104230210297,1000
72,0.9,0.8,0.4,20.18,70.89,436.95353135651595,1000
73,0.9,0.8,0.4,16.79,67.35,438.91630176208247,1000
74,0.9,0.8,0.4,17.18,67.82,438.0302530760602,1000
75,0.9,0.8,0.4,17.49,68.44,435.29661899963764,1000
76,0.9,0.8,0.4,18.47,69.24,430.24885106497004,1000
77,0.9,0.8,0.4,18.94,69.6,434.1197306061716,1000
78,0.9,0.8,0.4,19.29,69.58,441.3245561826266,1000
79,0.9,0.8,0.4,18.29,69.41,428.8370414388941,1000
80,0.9,0.8,0.4,17.83,68.52,438.35233860712486,1000
81,1.0,0.8,0.4,18.12,69.71,460.26169748509034,1000
82,1.0,0.8,0.4,19.71,70.46,481.50155270837865,1000
83,1.0,0.8,0.4,18.47,69.52,481.41116111682686,1000
84,1.0,0.8,0.4,17.66,68.49,484.0510780942935,1000
85,1.0,0.8,0.4,19.24,70.31,474.07240886483703,1000
86,1.0,0.8,0.4,20.43,70.95,490.8642361679576,1000
87,1.0,0.8,0.4,17.09,68.07,479.88371069631074,1000
88,1.0,0.8,0.4,16.96,67.79,480.559350984139,1000
89,1.0,0.8,0.4,16.97,68.13,479.56927496470945,1000
