,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
0,0.7,0.1,0.4,29.64,80.15,189.4314977599189,1000
1,0.7,0.1,0.4,28.98,79.51,189.92578919426688,1000
2,0.7,0.1,0.4,28.35,78.9,190.98015008365297,1000
3,0.7,0.2,0.4,27.2,77.66,211.5931141560598,1000
4,0.7,0.2,0.4,26.89,77.67,207.9220450811462,1000
5,0.7,0.2,0.4,25.19,75.7,210.50913323694172,1000
6,0.7,0.3,0.4,23.49,74.05,229.35788333381007,1000
7,0.7,0.3,0.4,22.82,73.38,228.71571930721774,1000
8,0.7,0.3,0.4,23.51,74.2,224.6945314786423,1000
9,0.7,0.4,0.4,23.61,73.97,244.21686640851962,1000
10,0.7,0.4,0.4,22.99,73.64,243.37314008558891,1000
11,0.7,0.4,0.4,23.35,73.89,244.7845489624225,1000
12,0.7,0.5,0.4,20.99,72.22,251.35968626561296,1000
13,0.7,0.5,0.4,22.0,72.68,261.39866924961933,1000
14,0.7,0.5,0.4,21.19,71.95,257.3902959908646,1000
15,0.7,0.6,0.4,20.73,71.38,280.95248671549876,1000
16,0.7,0.6,0.4,22.03,72.73,283.5509069386604,1000
17,0.7,0.6,0.4,20.44,70.99,286.5309074596066,1000
18,0.7,0.7,0.4,20.06,70.87,305.00847684667434,1000
19,0.7,0.7,0.4,20.21,71.04,306.20916494056013,1000
20,0.7,0.7,0.4,19.57,70.58,309.3639473358396,1000
21,0.7,0.8,0.4,21.31,72.07,336.5470904760553,1000
22,0.7,0.8,0.4,16.87,67.63,338.74540427938206,1000
23,0.7,0.8,0.4,19.18,69.96,336.013814101357,1000
24,0.7,0.9,0.4,15.58,66.84,371.71123256097883,1000
25,0.7,0.9,0.4,13.55,64.54,368.67918989688434,1000
26,0.7,0.9,0.4,16.67,67.5,375.5414336774573,1000
27,0.7,1.0,0.4,-38.63,20.75,285.6973022405121,1000
28,0.7,1.0,0.4,-40.91,17.85,292.89788142051515,1000
29,0.7,1.0,0.4,-40.16,19.51,285.7538484987045,1000
30,0.7,0.1,0.4,26.39,77.24,192.21871213701635,1000
31,0.7,0.1,0.4,29.5,81.13,170.83546955526438,1000
32,0.7,0.1,0.4,29.87,80.42,189.42589547794043,1000
33,0.7,0.2,0.4,28.99,79.49,211.12582807609238,1000
34,0.7,0.2,0.4,26.76,77.71,207.21727331792428,1000
35,0.7,0.2,0.4,27.68,78.31,209.14681497237777,1000
36,0.7,0.3,0.4,25.77,76.42,227.0527972887377,1000
37,0.7,0.3,0.4,23.63,74.53,227.4638569848185,1000
38,0.7,0.3,0.4,22.72,73.24,228.88457132356388,1000
39,0.7,0.4,0.4,24.13,74.57,244.362697588656,1000
40,0.7,0.4,0.4,22.5,72.95,241.88780062736276,1000
41,0.7,0.4,0.4,23.83,74.27,241.6047131205593,1000
42,0.7,0.5,0.4,22.22,72.82,260.29914524737234,1000
43,0.7,0.5,0.4,22.82,73.32,260.8170050444954,1000
44,0.7,0.5,0.4,23.99,74.77,254.3154212654532,1000
45,0.7,0.6,0.4,22.71,73.23,287.04931921722886,1000
46,0.7,0.6,0.4,22.04,72.63,284.4791078269328,1000
47,0.7,0.6,0.4,20.52,71.09,278.3961127723461,1000
48,0.7,0.7,0.4,17.78,68.59,307.2452583824022,1000
49,0.7,0.7,0.4,19.92,70.74,303.3952443417115,1000
50,0.7,0.7,0.4,20.58,71.45,298.3311307585765,1000
51,0.7,0.8,0.4,17.78,68.18,341.6441717199609,1000
52,0.7,0.8,0.4,17.21,68.19,335.96037808941674,1000
53,0.7,0.8,0.4,17.22,67.96,340.3204509197274,1000
54,0.7,0.9,0.4,14.66,65.29,375.33488822481536,1000
55,0.7,0.9,0.4,16.14,67.1,374.0671688833568,1000
56,0.7,0.9,0.4,18.74,69.48,370.083975218862,1000
57,0.7,1.0,0.4,-37.42,21.25,287.32007315957935,1000
58,0.7,1.0,0.4,-38.34,19.84,296.1999695168419,1000
59,0.7,1.0,0.4,-37.41,19.75,302.75186709343086,1000
60,0.7,0.1,0.4,29.72,80.63,185.25516482416117,1000
61,0.7,0.1,0.4,29.25,79.73,192.0259183896103,1000
62,0.7,0.1,0.4,27.43,78.22,189.63725879961933,1000
63,0.7,0.2,0.4,26.64,76.85,211.5994198823263,1000
64,0.7,0.2,0.4,27.1,77.55,213.55242760862816,1000
65,0.7,0.2,0.4,28.13,79.52,192.55540661148098,1000
66,0.7,0.3,0.4,26.19,77.41,216.0921353515063,1000
67,0.7,0.3,0.4,22.78,73.32,228.3090483119831,1000
68,0.7,0.3,0.4,23.2,73.88,225.26885733183272,1000
69,0.7,0.4,0.4,24.6,75.14,244.36859179714605,1000
70,0.7,0.4,0.4,23.58,74.39,236.001078454434,1000
71,0.7,0.4,0.4,23.32,73.64,245.40973986392578,1000
72,0.7,0.5,0.4,22.05,73.64,239.96702832726396,1000
73,0.7,0.5,0.4,22.85,73.51,256.59741107537826,1000
74,0.7,0.5,0.4,22.1,72.76,254.92832912175118,1000
75,0.7,0.6,0.4,21.24,72.01,280.28173098110676,1000
76,0.7,0.6,0.4,21.12,71.62,279.2501997747088,1000
77,0.7,0.6,0.4,21.83,72.35,281.1936996383085,1000
78,0.7,0.7,0.4,18.99,69.87,302.47807074411077,1000
79,0.7,0.7,0.4,19.98,71.08,302.6152588216147,1000
80,0.7,0.7,0.4,16.24,67.32,305.3877084008336,1000
81,0.7,0.8,0.4,17.6,68.33,338.77158189014733,1000
82,0.7,0.8,0.4,17.94,68.67,335.22407995805816,1000
83,0.7,0.8,0.4,18.61,69.35,339.467236097577,1000
84,0.7,0.9,0.4,16.74,67.64,372.45077010308734,1000
85,0.7,0.9,0.4,15.54,66.29,376.89462145655045,1000
86,0.7,0.9,0.4,16.57,67.12,372.00358593227634,1000
87,0.7,1.0,0.4,-37.36,20.63,300.10592897424175,1000
88,0.7,1.0,0.4,-39.1,19.01,296.4176192653559,1000
89,0.7,1.0,0.4,-40.14,18.8,296.7643651882335,1000
