,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
0,1.0,0.8,0.9,48.72,99.4,371.2673203251156,1000
1,1.0,0.8,0.9,45.82,99.48,303.71386076892196,1000
2,1.0,0.8,0.9,49.33,99.37,406.27821882729296,1000
3,1.0,0.8,0.9,45.48,99.5,265.39638276276384,1000
4,1.0,0.8,0.9,48.55,99.47,371.5390423053801,1000
5,1.0,0.8,0.9,46.85,99.47,333.7779926116066,1000
6,1.0,0.8,0.9,32.53968253968254,98.73015873015873,1.2318490828015702,126
7,1.0,0.8,0.9,39.32,96.51,214.61558431085834,1000
8,1.0,0.8,0.9,47.35,97.37,417.9466448061664,1000
9,1.0,0.8,0.9,47.93,99.4,385.0726121053309,1000
10,1.0,0.8,0.9,44.61,98.58,288.0053582880471,1000
11,1.0,0.8,0.9,45.58,99.42,294.70745343425335,1000
12,1.0,0.8,0.9,48.71,99.43,390.62016960955486,1000
13,1.0,0.8,0.9,49.15,99.37,405.354357649448,1000
14,1.0,0.8,0.9,32.816901408450704,98.59154929577464,1.315782032934003,71
15,1.0,0.8,0.9,46.99,97.87,389.0293566836193,1000
16,1.0,0.8,0.9,47.39,97.49,405.04294272251997,1000
17,1.0,0.8,0.9,48.1,99.41,374.5423759027672,1000
18,1.0,0.8,0.9,32.10526315789474,97.36842105263158,1.3123213647512642,57
19,1.0,0.8,0.9,46.79,99.39,338.8399695290887,1000
20,1.0,0.8,0.9,49.11,99.51,383.2152877209867,1000
21,1.0,0.8,0.9,44.11,94.71,407.58087417842603,1000
22,1.0,0.8,0.9,33.1578947368421,97.01754385964912,1.2603015447799142,57
23,1.0,0.8,0.9,43.96,97.8,286.10864407498315,1000
24,1.0,0.8,0.9,47.42,97.62,391.1476090465227,1000
25,1.0,0.8,0.9,47.63,99.49,367.9880811179831,1000
26,1.0,0.8,0.9,48.56,99.34,390.7675079695365,1000
