episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
162.5,734.5,746124,False,746124,,1,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_08-26-30,1650615990,1702.8027863502502,1702.8027863502502,3450,4e0a7eaaf501,172.17.0.2,1702.8027863502502,746124,1,11.890494585037231,194.69638,81.89035,1.0265396,1000,1000,86.48780387309435,38.72847136382365
152.5,782.0,771656,False,1517780,,2,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_08-51-11,1650617471,1480.7613673210144,3183.5641536712646,3450,4e0a7eaaf501,172.17.0.2,3183.5641536712646,1517780,2,11.890494585037231,329.03546,83.66399,0.5081743,1000,2000,89.87230113636363,39.70317234848485
161.66667,821.5,798562,False,2316342,,3,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_09-15-46,1650618946,1475.029201745987,4658.593355417252,3450,4e0a7eaaf501,172.17.0.2,4658.593355417252,2316342,3,11.890494585037231,473.03052,84.46481,0.31935516,1000,3000,90.1536887196573,39.11375535459305
195.0,844.0,810940,False,3127282,,4,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_09-41-03,1650620463,1516.3559803962708,6174.949335813522,3450,4e0a7eaaf501,172.17.0.2,6174.949335813522,3127282,4,11.890494585037231,619.61774,88.24627,0.23136842,1000,4000,90.65809435707679,39.29440333024977
358.0,1500.0,828640,False,3955922,,5,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_10-06-54,1650622014,1551.328108549118,7726.27744436264,3450,4e0a7eaaf501,172.17.0.2,7726.27744436264,3955922,5,11.890494585037231,767.3602,79.18809,0.1807053,1000,5000,90.48453887884267,40.04751356238698
358.0,nan,827854,False,4783776,,6,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_10-32-28,1650623548,1533.7881441116333,9260.065588474274,3450,4e0a7eaaf501,172.17.0.2,9260.065588474274,4783776,6,11.890494585037231,914.21497,77.39862,0.1482715,1000,6000,91.43859167809784,39.93401920438957
336.25,1082.5,834901,False,5618677,,7,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_10-58-04,1650625084,1536.1497848033905,10796.215373277664,3450,4e0a7eaaf501,172.17.0.2,10796.215373277664,5618677,7,11.890494585037231,1058.5631,80.82205,0.12617344,1000,7000,91.7734703196347,40.15561643835616
310.35715,894.0,850058,False,6468735,,8,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_11-24-33,1650626673,1588.5966360569,12384.812009334564,3450,4e0a7eaaf501,172.17.0.2,12384.812009334564,6468735,8,11.890494585037231,1199.619,85.04983,0.11046845,1000,8000,91.8102824360106,40.10635481023831
315.9375,797.0,866561,False,7335296,,9,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_11-51-46,1650628306,1633.7168292999268,14018.528838634491,3450,4e0a7eaaf501,172.17.0.2,14018.528838634491,7335296,9,11.890494585037231,1337.3547,82.640236,0.09837338,1000,9000,91.1470588235294,39.78119364534135
309.53702,846.3333333333334,858707,False,8194003,,10,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_12-18-23,1650629903,1596.430334329605,15614.959172964096,3450,4e0a7eaaf501,172.17.0.2,15614.959172964096,8194003,10,11.890494585037231,1471.6227,82.941055,0.08900999,1000,10000,92.90746924428822,40.30808435852372
299.5833,918.0,886486,False,9080489,,11,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_12-46-25,1650631585,1681.8089799880981,17296.768152952194,3450,4e0a7eaaf501,172.17.0.2,17296.768152952194,9080489,11,11.890494585037231,1602.4081,82.66369,0.08147838,1000,11000,92.00450375312761,39.89562135112594
304.33334,858.0,896884,False,9977373,,12,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_13-14-06,1650633246,1661.355150938034,18958.12330389023,3450,4e0a7eaaf501,172.17.0.2,18958.12330389023,9977373,12,11.890494585037231,1730.1724,74.35679,0.074953996,1000,12000,92.67999155761926,40.2691853102575
317.08334,979.0,907282,False,10884655,,13,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_13-47-00,1650635220,1974.4090611934662,20932.532365083694,3450,4e0a7eaaf501,172.17.0.2,20932.532365083694,10884655,13,11.890494585037231,1854.1866,86.11566,0.07019851,1000,13000,93.21691542288556,40.030810234541576
317.08334,nan,914229,False,11798884,,14,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_14-19-43,1650637183,1962.7692699432373,22895.30163502693,3450,4e0a7eaaf501,172.17.0.2,22895.30163502693,11798884,14,11.890494585037231,1974.7725,86.089806,0.06616218,1000,14000,93.58455488022882,40.24769395781194
321.08334,876.3333333333334,934224,False,12733108,,15,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_14-54-24,1650639264,2080.908460378647,24976.21009540558,3450,4e0a7eaaf501,172.17.0.2,24976.21009540558,12733108,15,11.890494585037231,2092.0647,88.13618,0.062808685,1000,15000,91.88623946037097,40.231129848229344
312.58334,821.0,941039,False,13674147,,16,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_15-27-05,1650641225,1960.5847902297974,26936.794885635376,3450,4e0a7eaaf501,172.17.0.2,26936.794885635376,13674147,16,11.890494585037231,2206.1912,87.07574,0.05983488,1000,16000,92.97602004294917,40.51492483894059
312.58334,nan,952212,False,14626359,,17,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_15-58-22,1650643102,1877.2849955558777,28814.079881191254,3450,4e0a7eaaf501,172.17.0.2,28814.079881191254,14626359,17,11.890494585037231,2317.4595,80.89004,0.056975454,1000,17000,93.76143497757847,40.47698056801195
312.58334,nan,958264,False,15584623,,18,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_16-30-09,1650645009,1906.465455532074,30720.545336723328,3450,4e0a7eaaf501,172.17.0.2,30720.545336723328,15584623,18,11.890494585037231,2425.8245,78.91238,0.0544054,1000,18000,94.1344014732965,40.71097605893187
312.58334,nan,963845,False,16548468,,19,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_17-02-04,1650646924,1915.1017799377441,32635.64711666107,3450,4e0a7eaaf501,172.17.0.2,32635.64711666107,16548468,19,11.890494585037231,2531.3975,79.35754,0.05221692,1000,19000,93.85032967032966,40.894505494505495
237.58334,972.0,967886,False,17516354,,20,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_17-36-37,1650648997,2073.3841314315796,34709.03124809265,3450,4e0a7eaaf501,172.17.0.2,34709.03124809265,17516354,20,11.890494585037231,2633.974,88.30052,0.05066406,1000,20000,93.00159106296546,40.96093432633717
246.50003,942.3333333333334,975277,False,18491631,,21,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_18-07-39,1650650859,1861.8668172359467,36570.8980653286,3450,4e0a7eaaf501,172.17.0.2,36570.8980653286,18491631,21,11.890494585037231,2733.647,83.23262,0.049002707,1000,21000,93.54958553127354,41.12923888470234
258.0,987.0,984815,False,19476446,,22,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_18-40-24,1650652824,1965.0429911613464,38535.941056489944,3450,4e0a7eaaf501,172.17.0.2,38535.941056489944,19476446,22,11.890494585037231,2830.8032,78.752975,0.047352985,1000,22000,93.02814285714285,41.199535714285716
244.5,937.0,984297,False,20460743,,23,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_19-14-05,1650654845,2021.137674331665,40557.07873082161,3450,4e0a7eaaf501,172.17.0.2,40557.07873082161,20460743,23,11.890494585037231,2925.329,76.782364,0.04587986,1000,23000,92.18340277777776,41.39951388888889
245.66666,996.5,986541,False,21447284,,24,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_19-49-18,1650656958,2111.893566131592,42668.9722969532,3450,4e0a7eaaf501,172.17.0.2,42668.9722969532,21447284,24,11.890494585037231,3017.2495,77.27204,0.044574186,1000,24000,92.11637873754152,41.42734219269103
251.16666,988.5,973081,False,22420365,,25,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_20-23-05,1650658985,2026.1159174442291,44695.08821439743,3450,4e0a7eaaf501,172.17.0.2,44695.08821439743,22420365,25,11.890494585037231,3106.4426,80.17266,0.043515626,1000,25000,93.10564404432132,40.83095567867036
259.3333,882.6666666666666,983511,False,23403876,,26,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_20-56-23,1650660983,1997.6650717258453,46692.753286123276,3450,4e0a7eaaf501,172.17.0.2,46692.753286123276,23403876,26,11.890494585037231,3193.298,80.5278,0.042609,1000,26000,92.14007727432384,41.13579206181946
259.9583,1022.0,1004773,False,24408649,,27,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_21-28-25,1650662905,1922.494261264801,48615.24754738808,3450,4e0a7eaaf501,172.17.0.2,48615.24754738808,24408649,27,11.890494585037231,3278.0393,86.86311,0.042054888,1000,27000,91.55647573878146,40.81867931411893
259.9583,nan,1008731,False,25417380,,28,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_21-59-35,1650664775,1869.5132253170013,50484.76077270508,3450,4e0a7eaaf501,172.17.0.2,50484.76077270508,25417380,28,11.890494585037231,3360.7039,77.99246,0.041132838,1000,28000,90.12033771106941,40.340450281425895
261.9583,964.0,1015659,False,26433039,,29,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_22-31-22,1650666682,1906.7272319793701,52391.48800468445,3450,4e0a7eaaf501,172.17.0.2,52391.48800468445,26433039,29,11.890494585037231,3441.2864,83.687904,0.040538203,1000,29000,89.55001844337882,40.11811139800812
258.9583,875.0,1020143,False,27453182,,30,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_23-04-10,1650668650,1968.3415229320526,54359.8295276165,3450,4e0a7eaaf501,172.17.0.2,54359.8295276165,27453182,30,11.890494585037231,3520.0576,81.15324,0.039888825,1000,30000,90.07690662865288,41.889771917320026
273.2083,1230.5,1019078,False,28472260,,31,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-22_23-37-28,1650670648,1997.591820716858,56357.42134833336,3450,4e0a7eaaf501,172.17.0.2,56357.42134833336,28472260,31,11.890494585037231,3597.0068,79.70042,0.039204393,1000,31000,89.49171057253248,40.19020021074816
277.2083,1150.3333333333333,1023570,False,29495830,,32,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_00-09-50,1650672590,1942.3682544231415,58299.7896027565,3450,4e0a7eaaf501,172.17.0.2,58299.7896027565,29495830,32,11.890494585037231,3672.045,86.55296,0.038866438,1000,32000,88.51480144404331,40.05545126353791
280.2083,1075.0,1027574,False,30523404,,33,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_00-42-06,1650674526,1935.6522040367126,60235.44180679321,3450,4e0a7eaaf501,172.17.0.2,60235.44180679321,30523404,33,11.890494585037231,3745.4397,81.77345,0.038324215,1000,33000,89.0735048930772,40.05425878941646
332.7083,1461.0,1053414,False,31576818,,34,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_01-15-43,1650676543,2017.3043150901794,62252.74612188339,3450,4e0a7eaaf501,172.17.0.2,62252.74612188339,31576818,34,11.890494585037231,3817.269,74.69268,0.03754051,1000,34000,87.8270862308762,40.04993045897079
346.2083,1404.0,1069807,False,32646625,,35,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_01-49-45,1650678585,2041.5974054336548,64294.34352731705,3450,4e0a7eaaf501,172.17.0.2,64294.34352731705,32646625,35,11.890494585037231,3887.4177,83.22279,0.03720194,1000,35000,87.05273102026796,39.705633802816905
361.2083,1227.5,1083055,False,33729680,,36,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_02-24-18,1650680658,2073.6783521175385,66368.02187943459,3450,4e0a7eaaf501,172.17.0.2,66368.02187943459,33729680,36,11.890494585037231,3955.9268,82.63697,0.036851753,1000,36000,86.5364558674332,39.93452823807913
