,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
0,0.1,0.1,0.1,-43.0,17.32,14.880943445085665,1000
1,0.1,0.1,0.2,-27.46,26.72,22.899867986413014,1000
2,0.1,0.1,0.3,6.92,57.87,27.50598948711052,1000
3,0.1,0.1,0.4,29.99,80.21,27.585451578957766,1000
4,0.1,0.1,0.5,39.0,89.52,25.401114483554693,1000
5,0.1,0.1,0.6,44.17,94.61,23.25300123289074,1000
6,0.1,0.1,0.7,18.333333333333332,81.66666666666667,0.016717269532062668,12
7,0.1,0.1,0.8,47.58,98.72,17.09375178882757,1000
8,0.1,0.1,0.9,30.0,93.33333333333333,0.010692809274344982,12
9,0.1,0.1,1.0,41.666666666666664,95.0,0.00947445944133409,12
10,0.1,0.2,0.1,-44.53,17.17,17.0026703212341,1000
11,0.1,0.2,0.2,-30.0,36.666666666666664,0.028138963378486197,12
12,0.1,0.2,0.3,2.46,53.84,29.897345572319914,1000
13,0.1,0.2,0.4,27.37,78.09,30.44233646069482,1000
14,0.1,0.2,0.5,-23.333333333333332,56.666666666666664,0.0006346706801036425,12
15,0.1,0.2,0.6,45.03,95.86,27.000896846935017,1000
16,0.1,0.2,0.7,46.67,97.06,24.945494246261106,1000
17,0.1,0.2,0.8,46.08,98.67,19.70428022136304,1000
18,0.1,0.2,0.9,48.13,99.43,19.22809186757205,1000
19,0.1,0.2,1.0,26.666666666666668,95.0,0.004783801927212993,12
20,0.1,0.3,0.1,-44.51,16.77,18.981784380346443,1000
21,0.1,0.3,0.2,-30.39,24.25,27.806900496217633,1000
22,0.1,0.3,0.3,1.71,52.74,32.442666712216436,1000
23,0.1,0.3,0.4,23.6,74.25,32.70049267907911,1000
24,0.1,0.3,0.5,39.09,89.27,32.14791004197283,1000
25,0.1,0.3,0.6,43.17,93.71,30.928165425102915,1000
26,0.1,0.3,0.7,22.352941176470587,87.05882352941177,0.028959944190081115,17
27,0.1,0.3,0.8,46.78,97.69,25.206087298641457,1000
28,0.1,0.3,0.9,48.89,99.49,23.722485187252758,1000
29,0.1,0.3,1.0,46.92,99.94,8.144946002446929,1000
30,0.1,0.4,0.1,-44.21,17.37,21.028223964503983,1000
31,0.1,0.4,0.2,-31.85,22.41,30.12872318863388,1000
32,0.1,0.4,0.3,-3.2,47.83,34.96636486141714,1000
33,0.1,0.4,0.4,0.8333333333333334,71.66666666666667,0.005267497663580552,12
34,0.1,0.4,0.5,37.65,87.84,33.903100723359934,1000
35,0.1,0.4,0.6,42.67,93.55,32.522609945879,1000
36,0.1,0.4,0.7,16.666666666666668,80.83333333333333,0.01036162283809254,12
37,0.1,0.4,0.8,47.64,98.73,27.598177538337627,1000
38,0.1,0.4,0.9,49.27,99.37,27.44504759410713,1000
39,0.1,0.4,1.0,49.15,99.94,12.723960239117238,1000
40,0.1,0.5,0.1,-45.59,16.2,23.031100131426374,1000
41,0.1,0.5,0.2,-32.37,21.86,33.017151203565895,1000
42,0.1,0.5,0.3,-4.84,46.82,36.67762318349104,1000
43,0.1,0.5,0.4,21.95,72.52,37.49708636234784,1000
44,0.1,0.5,0.5,37.39,88.01,36.269494270901774,1000
45,0.1,0.5,0.6,44.1,94.28,35.63461600172788,1000
46,0.1,0.5,0.7,45.79,96.06,34.02536759561446,1000
47,0.1,0.5,0.8,48.19,98.75,32.59530037258732,1000
48,0.1,0.5,0.9,48.49,99.41,26.772132694621593,1000
49,0.1,0.5,1.0,35.0,95.0,0.011736015851242189,12
50,0.1,0.6,0.1,-33.333333333333336,35.0,0.046329882855035,12
51,0.1,0.6,0.2,-32.68,23.16,34.46480665330221,1000
52,0.1,0.6,0.3,-4.94,46.41,40.26197494153655,1000
53,0.1,0.6,0.4,22.3,72.74,41.04118288381155,1000
54,0.1,0.6,0.5,35.8,86.32,39.82711186336177,1000
55,0.1,0.6,0.6,16.666666666666668,81.66666666666667,0.0250642466295455,12
56,0.1,0.6,0.7,45.44,95.56,38.10831812896849,1000
57,0.1,0.6,0.8,22.5,85.83333333333333,0.02000805215165376,12
58,0.1,0.6,0.9,47.17,99.35,27.54113743125734,1000
59,0.1,0.6,1.0,36.666666666666664,95.0,0.01323840006967579,12
60,0.1,0.7,0.1,-44.54,17.58,27.70103817150303,1000
61,0.1,0.7,0.2,-33.75,21.51,36.96342159716408,1000
62,0.1,0.7,0.3,-3.95,47.79,43.4903284337019,1000
63,0.1,0.7,0.4,-62.5,21.666666666666668,0.020775282220066485,12
64,0.1,0.7,0.5,34.89,85.34,43.59670759337066,1000
65,0.1,0.7,0.6,40.56,90.66,43.776746848318176,1000
66,0.1,0.7,0.7,45.78,96.24,40.66035151643272,1000
67,0.1,0.7,0.8,46.53,97.25,39.26362202740417,1000
68,0.1,0.7,0.9,49.06,99.34,34.90693537034979,1000
69,0.1,0.7,1.0,43.333333333333336,95.0,0.01112996377193908,12
70,0.1,0.8,0.1,-46.53,16.87,29.253148148026547,1000
71,0.1,0.8,0.2,-34.19,20.88,41.241683535497536,1000
72,0.1,0.8,0.3,3.3333333333333335,74.16666666666667,0.011917963852141219,12
73,0.1,0.8,0.4,16.98,67.52,48.58103514096629,1000
74,0.1,0.8,0.5,33.37,83.95,47.751832212546844,1000
75,0.1,0.8,0.6,39.98,90.38,46.89625670381727,1000
76,0.1,0.8,0.7,20.833333333333332,90.0,0.02073915334079998,12
77,0.1,0.8,0.8,47.18,98.73,39.66093109080237,1000
78,0.1,0.8,0.9,47.91,99.14,38.64313706011194,1000
79,0.1,0.8,1.0,31.666666666666668,95.0,0.006556463953665599,12
80,0.1,0.9,0.1,-17.5,54.166666666666664,0.016648233147500306,12
81,0.1,0.9,0.2,-37.05,18.15,45.683041348202394,1000
82,0.1,0.9,0.3,-13.15,38.8,51.65878776950859,1000
83,0.1,0.9,0.4,-10.833333333333334,58.333333333333336,0.0207408851502366,12
84,0.1,0.9,0.5,32.23,82.79,52.969124795475125,1000
85,0.1,0.9,0.6,40.18,90.67,51.8695092205274,1000
86,0.1,0.9,0.7,43.24,93.39,52.107127625565965,1000
87,0.1,0.9,0.8,45.23,95.71,49.580937870879154,1000
88,0.1,0.9,0.9,28.333333333333332,94.16666666666667,0.00573532018999654,12
89,0.1,0.9,1.0,32.5,95.83333333333333,0.008017092388909672,12
